country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Austria,AUT,Europe,8901064,cases,0,2020-1,0.000000,0
Austria,AUT,Europe,8901064,cases,0,2020-2,0.000000,0
Austria,AUT,Europe,8901064,cases,0,2020-3,0.000000,0
Austria,AUT,Europe,8901064,cases,0,2020-4,0.000000,0
Austria,AUT,Europe,8901064,cases,0,2020-5,0.000000,0
Austria,AUT,Europe,8901064,cases,0,2020-6,0.000000,0
Austria,AUT,Europe,8901064,cases,0,2020-7,0.000000,0
Austria,AUT,Europe,8901064,cases,0,2020-8,0.000000,0
Austria,AUT,Europe,8901064,cases,14,2020-9,0.157000,14
Austria,AUT,Europe,8901064,cases,88,2020-10,1.146000,102
Austria,AUT,Europe,8901064,cases,758,2020-11,9.504000,860
Austria,AUT,Europe,8901064,cases,2771,2020-12,39.646999,3631
Austria,AUT,Europe,8901064,cases,5182,2020-13,89.348999,8813
Austria,AUT,Europe,8901064,cases,3170,2020-14,93.831001,11983
Austria,AUT,Europe,8901064,cases,1954,2020-15,57.566002,13937
Austria,AUT,Europe,8901064,cases,773,2020-16,30.636999,14710
Austria,AUT,Europe,8901064,cases,479,2020-17,14.066000,15189
Austria,AUT,Europe,8901064,cases,349,2020-18,9.302000,15538
Austria,AUT,Europe,8901064,cases,249,2020-19,6.718000,15787
Austria,AUT,Europe,8901064,cases,367,2020-20,6.921000,16154
Austria,AUT,Europe,8901064,cases,285,2020-21,7.325000,16439
Austria,AUT,Europe,8901064,cases,203,2020-22,5.482000,16642
Austria,AUT,Europe,8901064,cases,226,2020-23,4.820000,16868
Austria,AUT,Europe,8901064,cases,170,2020-24,4.449000,17038
Austria,AUT,Europe,8901064,cases,247,2020-25,4.685000,17285
Austria,AUT,Europe,8901064,cases,340,2020-26,6.595000,17625
Austria,AUT,Europe,8901064,cases,644,2020-27,11.055000,18269
Austria,AUT,Europe,8901064,cases,578,2020-28,13.729000,18847
Austria,AUT,Europe,8901064,cases,724,2020-29,14.627000,19571
Austria,AUT,Europe,8901064,cases,915,2020-30,18.414000,20486
Austria,AUT,Europe,8901064,cases,823,2020-31,19.525999,21309
